Question,Énoncé,A,B,C,D,E,Réponse,Image,Thème
259,"Une horloge possède trois aiguilles distinctes. La première complète un tour en 20 secondes, la deuxième en 30 secondes, et la troisième en 50 secondes. Combien de tours la deuxième aiguille aura-t-elle effectué lorsque les trois aiguilles auront complété un tour ensemble pour la première fois?",5 tours,6 tours,8 tours,10 tours,12 tours,D,,
260,"Pour obtenir 8^8^, à quelle puissance faut-il élever 4^4^ ?",2,"2,5",3,"3,5",4,A,,
261,"x et y sont deux nombres entiers premiers différents, supérieurs à 1 et inférieurs à 30. Leur somme est un carré. Quelle peut être la valeur du plus grand nombre des deux ?",13,17,19,23,29,E,,
262,"Un rectangle a pour largeur x et pour longueur y, avec x et y entiers naturels. Si on augmente la largeur de 4 cm et la longueur de 1 cm, alors l'aire du rectangle augmente de 37 cm². Si on diminue la largeur de 1 cm et la longueur de 3 cm, alors l'aire diminue de 19 cm². Quelle est l'aire initiale du rectangle ?",30 cm²,35 cm²,40 cm²,45 cm²,50 cm²,B,,
263,On lance deux dés non truqués. Quelle est la probabilité que le résultat du deuxième dé soit supérieur au résultat du premier ?,14/36,15/36,16/36,17/36,18/36,B,,
264,"Je parcours un tapis roulant de 150 mètres. A l'aller je mets 50 secondes, soit 3 fois moins qu'au retour. Quelle est la vitesse du tapis ?","0,5 m/s",1 m/s,"1,5 m/s",2 m/s,"2,5 m/s",B,,
265,"Dans la figure ci-dessous, on distingue 2 demi-cercles de rayon 2,5 cm et un rectangle. Sachant que les 2 triangles grisés sont isocèles, que vaut l'aire grisée en proportion de l'aire totale ?",1 / π,1 / 2π,1 / 2 + π,√3 / π,√2 / 3π,B,,
266,"Dans la figure suivante ABC est un triangle de surface égale à 50 cm², et les trois cercles à ses sommets sont tous de diamètre égal à 4 cm. Quelle est la surface de la partie grisée ?",50 - π,50 - 2 π,50 - 3 π,50 - 4 π,50 - 5 π,B,,
267,"Soit un dé est pipé. La probabilité d'obtenir 6 vaut 0,5 et les autres faces tombent de manière équiprobable. On lance ce dé deux fois. Quelle est la probabilité que la somme des deux chiffres obtenus soit égale à 8 ?",12 %,13 %,14 %,15 %,16 %,B,,
268,"Antoine a un capital séparé en 3 parties qui forment une suite géométrique de raison q entière, les 3 sont placées à 5 %, à la fin de l'année il y a 875 euros d'intérêts ». Quelle est la valeur de la plus petite des 3 parts ?",2 000,2 250,2 500,2 750,3 000,C,,
269,"On désire acheter un grand nombre de gâteaux à un pâtissier. Les 100 premiers gâteaux achetés coûtent le prix habituel, soit 400 euros les 100. Chaque gâteau supplémentaire acheté coûte 2 euros. Combien doit-on commander de gâteaux supplémentaires pour que le prix de revient d'un gâteau soit de 2,5 euros ?",210 gâteaux,250 gâteaux,300 gâteaux,520 gâteaux,600 gâteaux,C,,
270,"Soit un hexagone régulier et un losange, présentés comme sur la figure ci-dessous. Que vaut la proportion de l'aire grisée ?",1/2,1/3,1/4,3/7,3/8,B,,
271,"Dans la figure ci-dessous, que vaut le rayon R du cercle ?",8 cm,"8,5 cm",9 cm,"9,5 cm",10 cm,E,,
272,On prend deux pièces de monnaie. L'une est truquée de telle manière que la probabilité de tirer face est égale à 1/3 et l'autre est équilibrée avec une probabilité de tirer face égale à 1/2. On choisit l'une des deux pièces au hasard. On tire face. Quelle est la probabilité que la pièce choisie soit la pièce truquée ?,20 %,25 %,30 %,35 %,40 %,E,,
273,"Un capital d'un montant de 12 000 € est partagé en deux parts inégales. La plus petite est placée et rapporte 240 € au bout d'un an. La deuxième est placée, mais à un taux annuel correspondant au tiers du taux annuel de la première part, et rapporte au bout d'un an 160 €. Quelle est la valeur de la part la plus grande ?",7 500 €,8 500 €,7 000 €,6 500 €,8 000 €,E,,
274,Les valeurs des angles consécutifs d'un trapèze forment une progression arithmétique. Le plus petit des angles a pour valeur 66°. Quelle est la valeur du plus grand ?,111°,112°,113°,114°,115°,D,,
275,"La somme de deux entiers positifs est égale à 138. Si l'on rajoute 3 à chacun des deux, alors le plus grand sera égal à deux fois le plus petit. Quelle est la valeur de la différence entre le plus grand et le plus petit ?",48,45,40,37,33,A,,
276,"Une assemblée générale réunit 280 personnes. On dénombre 120 hommes qui portent une cravate, 110 hommes qui portent des lunettes dont parmi eux 60 qui portent aussi une cravate. On choisit une personne au hasard, quelle est la probabilité que ce soit un homme portant ni lunettes, ni cravate ?",2/7,5/14,5/18,5/7,11/28,E,,
277,"Un commerçant a acheté chez un grossiste un lot de boulons professionnels pour un montant de 360 €. Trois sont défectueux et impropres à la vente. Il décide de vendre les autres avec un bénéfice de 5 € par rapport à leur prix d'achat. Sur l'ensemble, il fait un bénéfice de 31 €. À quel prix a-t-il acheté chaque boulon ?",12€,14€,16€,18€,20€,D,,
278,"Une femme donne naissance à des quadruplés. Dans exactement 9 ans, son âge sera équivalent à la somme des âges de ses enfants. Si les enfants viennent de naître, quel était l'âge de la mère lors de leur naissance ?",23 ans,24 ans,25 ans,26 ans,27 ans,E,,
279,"Dans une fratrie de 4 enfants, quelle est la probabilité qu'il y ait autant de filles que de garçons ?",5/16,6/16,7/16,8/16,9/16,B,,
280,Soit un nombre AB à 2 chiffres tel que AB × BA = 252. Que vaut A + B ?,3,4,5,6,7,A,,
281,Albane et Béatrice s'engagent sur une route de 120 km. Albane s'engage en premier à la vitesse de 80 km/h. Béatrice part 5 minutes après Albane mais arrive 5 minutes avant elle. Quelle est la vitesse de Béatrice ?,85 km/h,90 km/h,95 km/h,100 km/h,105 km/h,B,,
282,"Combien y a-t-il de chemins possibles en se déplaçant seulement d'une case à la fois, horizontalement et verticalement ?",6,8,10,12,14,C,,
283,"Dans la figure ci-dessous, les deux carrés ont des côtés égaux dont la longueur est égale à 1 m. Les deux carrés ont un sommet commun et l'un d'entre eux possède un côté qui est placé sur la diagonale de l'autre. Quelle est la valeur de l'aire partie commune des deux carrés ?",3√2 – 1,2√2 – 1,√2 – 1,√2 + 1,2√2 + 1,C,,
284,"Un mathématicien observe un nombre de trois chiffres et constate que lorsqu'il retranche 495 à ce nombre, il obtient le nombre formé par les trois mêmes chiffres mais dans l'ordre inverse. Combien de nombres respectent cette propriété ?",25,28,33,40,60,D,,
285,"Les 88 enfants d'une école peuvent pratiquer jusqu'à 3 sports. Combien pratiquent 0 sports sachant que 31 en pratiquent exactement 1, 30 en pratiquent exactement 2 et 22 en pratiquent exactement 3 ?",3,4,5,6,7,C,,
286,"On a un lingot d'or au titre de 0,74. On lui ajoute 0,2 kg d'or pur et on obtient un lingot au titre de 0,75. Quel était le poids initial du lingot ?","3,6 kg","4,4 kg",5 kg,"5,7 kg","6,2 kg",C,,
287,"Que vaut le rapport I/M sachant que : I = 20 % de J, K = 25 % de L, M = 20% de L, J = 15 % de K",3 %,"3,25 %","3,5 %","3,75 %",Il manque des informations.,D,,
288,"Chaque personne offre 3 cadeaux à chaque autre, il y a eu 330 cadeaux offerts, combien de personnes ?",9,10,11,12,Aucune de ces réponses.,C,,
289,Que vaut l'aire de la partie grisée en proportion de l'aire totale ?,1/4,1/6,1/8,1/10,1/12,E,,
290,"Un agriculteur achète un champ de forme carrée à 5 € le mètre carré. Il clôt ce champ avec une palissade qui coûte 0,5 € par mètre. Tous les 10 mètres, il plante un piquet qui coûte 15 €. Sachant que la palissade a couté 100 €, combien l'agriculteur a-t-il dépensé au total ?",9 250 €,10 980 €,11 980 €,12 840 €,12 900 €,E,,
291,"Dans le carré ci-dessous, 4 cercles identiques sont inscrits, comme le montre la figure ci-dessous. Que vaut l'aire grise en proportion de l'aire totale ?",π/16,π/12,π/8,π/4,π/2,D,,
292,Soit la fraction 8/7. Quel nombre doit-on soustraire au numérateur et au dénominateur pour obtenir 1/6 ?,"6,2","7,7","8,2","9,4","9,8",C,,
293,Combien y a-t-il de carrés dans cette figure ?,35,40,45,50,55,E,,
294,"2 produits initialement de même prix subisssent des variations contraires. Un produit augmente de 10% tandis que l'autre diminue de 5%. Au final, leur différence est de la différence 60 euros. Quel est le prix final du produit qui a diminué ?",300 euros,380 euros,400 euros,420 euros,440 euros,D,,
295,"Combien d'anagrammes du mot TABLE peut-on décompter, avec un sens ou non, sachant qu'on veut qu'il y ait une consonne en première et dernière position ?",36,72,96,120,Aucune de ces réponses,A,,
296,"3 robinets remplissent une piscine en respectivement 3 heures, 3 heures 20 minutes et 5 heures, tandis qu'une vanne vide la piscine en 6 heures. Combien de temps faudrait-il pour remplir la piscine si on ouvrait les 3 robinets et la vanne ?",1h20,1h30,1h40,1h50,2h00,B,,
297,"En lançant 2 dés non pipés, quelle est la probabilité que la somme des 2 résultats obtenus soit égale à un nombre impair ou un nombre premier ?",17/36,19/36,1/2,2/3,Aucune de ces réponses,B,,
298,Complétez cette série logique : 10 -- 13 -- 801 -- 97 -- 997 -- ?,5555,6666,7777,8888,9999,E,,
299,"Soient 4 nombres A, B, C et D tels que la moyenne de A, B et C est égale à 21 tandis que la moyenne de B, C et D = 40. Quel est l'écart entre D et A ?",47,52,57,62,72,C,,
300,"Deux produits valent ensemble 396 €. Sachant que l'un coûte 20% de plus que l'autre, quel est le prix du plus cher ?",180 euros,202 euros,216 euros,220 euros,245 euros,C,,
301,"Un QCM comprend 15 questions, avec un système de notation suivant : +3 points pour une réponse correcte, -1 point pour une réponse incorrecte, et 0 point pour une question sans réponse. Si un candidat obtient un total de 24 points, combien de questions n'a-t-il pas répondues ?",2,5,8,7,Plusieurs réponses sont possibles,E,,
302,On a 8 nombres différents strictement positifs dont la moyenne est de 8. Quelle est la valeur maximale du plus grand ?,32,33,34,35,36,E,,
303,"De combien de façons peut-on placer 6 personnes (A, B, C, D, E et F) sur une table hexagonale de 6 places, sachant C ne peut pas s'asseoir en face de E ?",556,566,576,586,596,C,,
304,"Un échiquier carré d'aire 361 cm² est composé de 64 cases aux mesures identiques ainsi que d'une bordure de 1,5 cm de large. Quelle est l'aire occupée par les cases blanches de l'échiquier, sachant que la moitié des cases sont blanches ?",128 cm²,96 cm²,72 cm²,60 cm²,48 cm²,A,,
305,On divise en deux morceaux une baguette de 17 cm. L'aire du rectangle obtenue en utilisant comme côtés ces morceaux est de 52 cm². Quelle est la différence entre la longueur et la largeur des deux morceaux ?,10 cm,9 cm,8 cm,7 cm,6 cm,B,,
306,Deux clientes donnent la même somme d'argent au boulanger. Ce dernier rend 4 pains et 34 euros à la première cliente et 9 pains et 14 euros à la deuxième cliente. Combien coûte un pain ?,"2,5 euros",3 euros,"3,5 euros",4 euros,5 euros,D,,
307,"Si je roule à 12 km/h, j'arrive à 17h, mais si je roule à 20 km/h j'arrive à 15h. À quelle vitesse dois-je rouler pour arriver à 16h ?",14 km/h,"14,5 km/h",15 km/h,"15,5 km/h",16 km/h,C,,
308,"Quatre duos, constitués d'un père et d'un fils doivent constituer deux équipes ayant un même nombre de joueurs. De combien de manière peut-on constituer deux équipes sachant qu'une équipe ne peut pas comprendre un père et un fils?",8,16,14,12,10,A,,
309,"Dans la figure ci-dessous sont représentés trois cercles égaux de centres respectifs A, B et C. Que vaut l'aire de la partie grisée de la figure exprimée en proportion de l'aire du triangle ABC ?",π/√3,π/2√3,π/5,3π/7,3/4,B,,
310,"Les 2 figures ci-dessous ayant le même périmètre, que vaut x ?",1 cm,2 cm,3 cm,4 cm,Plusieurs réponses sont possibles,C,,
311,"Un guide touristique propose de faire visiter 3 arrondissements sur les 20 que compte la capitale. Combien de circuits de 3 arrondissements peut-il organiser (l'ordre n'importe pas, ce qui signifie, par exemple, que le circuit : 1^er^ -- 2^ème^ -- 3^ème^ arrondissements est le même que le circuit : 1^er^ -- 3^ème^ -- 2^ème^ arrondissements) ?",3,3 !,1 140,6 840,9 870,C,,
312,"En mélangeant trois quarts de litre d'une boisson contenant 10 % d'alcool avec cinq quarts de litre d'une autre boisson contenant 34 % d'alcool, quel pourcentage d'alcool obtient-on dans ce nouveau mélange ?",20 %,22 %,25 %,28 %,30 %,C,,
313,"Une joueuse de tennis gagne 48 % de ses 300 matchs. Combien de matchs doit-elle jouer, en admettant qu'elle les remporte tous, pour passer à 50 % de victoires ?",6,8,10,12,15,D,,
314,"Sachant que l'aire grise est égale à 2π – 4 cm², quelle est la valeur du côté du carré ?",1 cm,"1,5 cm",2 cm,"2,5 cm",3 cm,C,,
315,"Quelle est l'augmentation d'un paquet de chips vendu au même prix, mais dont la quantité a diminué de 20 % par rapport à l'année précédente ?",15 %,18 %,20 %,22 %,25 %,E,,
316,"La gérante d'un centre commercial dresse le bilan de la journée. Sachant qu'un homme dépense 3 fois plus qu'une femme et que 60 % des clients sont des femmes, quelle a été la part des dépenses réalisée par les hommes aujourd'hui ?",1/3,1/2,3/5,2/3,3/4,D,,
317,"Sachant que ma montre retarde de 30 secondes toutes les 144 minutes et que je viens de la régler à l'heure juste à 20h00 exactement, quelle heure sera-t-il exactement quand me montre affichera de nouveau 20h00 ?",19h55,20h03,20h04,20h05,20h06,D,,
318,Que vaut le rapport entre l'aire d'un hexagone régulier de côté 1 cm et l'aire d'un octogone régulier de côté 1 cm ?,$\frac{6\ }\sqrt{3}}{28\ }$,$\frac{36\sqrt{3}}{5\ }$,$\frac{12\ \sqrt{3}}{18\ }$,$\ \frac{\ \sqrt{3}}{7\ }$,Aucune de ces réponses,A,,
319,"Dans un questionnaire, on peut répondre « oui » ou « non » à 2 questions. Sachant que 51 personnes ont répondu à ce questionnaire, que 17 personnes ont répondu « oui » à la question 1, que 20 personnes ont répondu « non » aux 2 questions et que 5 personnes ont répondu « oui » uniquement à la question 1, combien de personnes ont répondu « oui » aux 2 questions ?",9,10,11,12,14,D,,
320,"Dans un ballon sphérique initialement de 100 cm^3^, on insuffle 2,6 litres d'air. Par combien le volume s'en trouve-t-il multiplié ?","0,27","2,7",27,270,2700,C,,
321,"Dans la figure ci-dessous, composée de 3 triangles équilatéraux, que vaut l'aire grise en proportion de l'aire totale ?",1/2,1/3,1/4,2/3,3/7,A,,
322,"L'entreprise A a acheté 6 fois plus de produits que l'entreprise B. Sachant que l'entreprise B a payé chaque produit 3 fois plus cher que l'entreprise A, que représente la dépense de B en pourcentage de la dépense totale des deux entreprises ?",1/2,1/3,1/4,1/5,2/5,B,,
323,Une course oppose 1 331 participants. On organise des manches au cours desquelles 11 athlètes concourent à chaque manche. Le gagnant affronte les autres gagnants toujours par groupe de 11 et ainsi de suite. Combien de manches seront organisées ?,1 331,133,121,110,11,B,,
324,Un objet de 500 kilogrammes est composé à 99 % d'eau. On le laisse sécher de sorte qu'il ne contient plus que 98 % d'eau. Quel est le poids de l'objet restant ?,498 kg,400 kg,300 kg,250 kg,2 kg,D,,
325,"Un prix dans un magasin augmente de 20 €. Pour revenir au prix initial, il faut appliquer une réduction de 20 %. Quel est le prix initial du produit ?",120 euros,110 euros,100 euros,90 euros,80 euros,C,,
326,"Quel est mon âge sachant que, si je meurs à 80 ans, mon âge équivaut au 3/5 du temps qu'il me reste à vivre ?",30 ans,35 ans,40 ans,45 ans,50 ans,A,,
327,On considère un troupeau composé exclusivement de chameaux et de dromadaires. On dénombre 88 animaux et 139 bosses. Combien y a- t-il de chameaux ?,27,37,41,51,57,D,,
328,"Dans la figure ci-dessous, tous les cercles se touchent entre eux. Sachant que le diamètre de chaque cercle est de 2 cm, quelle est l'aire de la partie blanche ?",$\pi$,2 $\pi$,7 $\pi$,9 $\pi$,9 $\pi$/4,B,,
